mongoId,rating,createdAt
6989a4ea10805f5685d71020,82,2023-10-28T00:00:00Z
6989a4ea10805f5685d71021,78,2023-03-08T00:00:00Z
6989a4ea10805f5685d71022,99,2024-12-16T00:00:00Z
6989a4ea10805f5685d71023,100,2024-12-09T00:00:00Z
6989a4ea10805f5685d71024,100,2024-11-09T00:00:00Z
6989a4ea10805f5685d71025,99,2024-05-06T00:00:00Z
6989a4ea10805f5685d71026,91,2025-09-03T00:00:00Z
6989a4ea10805f5685d71027,91,2024-05-10T00:00:00Z
6989a4ea10805f5685d71028,68,2024-02-14T00:00:00Z
6989a4ea10805f5685d71029,78,2025-02-14T00:00:00Z
6989a4ea10805f5685d7102a,71,2025-09-12T00:00:00Z
6989a4ea10805f5685d7102b,98,2023-11-26T00:00:00Z
6989a4ea10805f5685d7102c,91,2023-08-09T00:00:00Z
6989a4ea10805f5685d7102d,80,2024-08-02T00:00:00Z
6989a4ea10805f5685d7102e,72,2025-09-11T00:00:00Z
6989a4ea10805f5685d7102f,79,2023-01-26T00:00:00Z
6989a4ea10805f5685d71030,88,2023-10-22T00:00:00Z
6989a4ea10805f5685d71031,50,2023-04-28T00:00:00Z
6989a4ea10805f5685d71032,99,2025-02-06T00:00:00Z
6989a4ea10805f5685d71033,100,2024-11-21T00:00:00Z
6989a4ea10805f5685d71034,80,2023-02-18T00:00:00Z
6989a4ea10805f5685d71035,88,2024-12-01T00:00:00Z
6989a4ea10805f5685d71036,100,2023-03-06T00:00:00Z
6989a4ea10805f5685d71037,72,2023-03-16T00:00:00Z
6989a4ea10805f5685d71038,82,2024-03-03T00:00:00Z
6989a4ea10805f5685d71039,92,2025-10-12T00:00:00Z
6989a4ea10805f5685d7103a,71,2025-07-27T00:00:00Z
6989a4ea10805f5685d7103b,59,2025-12-01T00:00:00Z
6989a4ea10805f5685d7103c,52,2025-09-06T00:00:00Z
6989a4ea10805f5685d7103d,29,2024-09-26T00:00:00Z
6989a4ea10805f5685d7103e,71,2023-07-19T00:00:00Z
6989a4ea10805f5685d7103f,71,2024-03-15T00:00:00Z
6989a4ea10805f5685d71040,88,2024-02-19T00:00:00Z
6989a4ea10805f5685d71041,60,2024-05-24T00:00:00Z
6989a4ea10805f5685d71042,82,2024-03-26T00:00:00Z
6989a4ea10805f5685d71043,78,2023-02-26T00:00:00Z
6989a4ea10805f5685d71044,58,2023-06-12T00:00:00Z
6989a4ea10805f5685d71045,70,2024-04-02T00:00:00Z
6989a4ea10805f5685d71046,60,2023-11-19T00:00:00Z
6989a4ea10805f5685d71047,52,2024-09-21T00:00:00Z
6989a4ea10805f5685d71048,82,2024-04-07T00:00:00Z
6989a4ea10805f5685d71049,88,2025-10-04T00:00:00Z
