mongoId,name
6989a4dd10805f5685d66404,Unknown Author
6989a4dd10805f5685d66406,Frank Mccourt
6989a4dd10805f5685d66409,Helen Fielding
6989a4dd10805f5685d6640c,Barbara Kingsolver
6989a4dd10805f5685d6640e,Anita Diamant
6989a4dd10805f5685d66412,Jean Andrews
6989a4dd10805f5685d66414,Tracy Chevalier
6989a4dd10805f5685d66416,John Grisham
6989a4dd10805f5685d66418,J. K. Rowling
6989a4dd10805f5685d6641a,Judy Blume
6989a4dd10805f5685d6641c,Penny Junor
6989a4dd10805f5685d66421,Alexander Mccall Smith
6989a4dd10805f5685d66423,Anne Rice
6989a4dd10805f5685d66426,J. R. R. Tolkien
6989a4dd10805f5685d66428,Rebecca Wells
6989a4dd10805f5685d6642a,James Patterson
6989a4dd10805f5685d6642d,Gretel Ehrlich
6989a4dd10805f5685d6642f,Emily Brontë
6989a4dd10805f5685d66432,Michael Crichton
6989a4dd10805f5685d66434,Stephen King
6989a4dd10805f5685d66436,Thomas Harris
6989a4dd10805f5685d66438,Bernhard Schlink
6989a4dd10805f5685d6643a,Jane Austen
6989a4dd10805f5685d6643c,Meghan Mccarthy
6989a4dd10805f5685d6643e,Francine Pascal
6989a4dd10805f5685d66442,David Sedaris
6989a4dd10805f5685d66444,John Irving
6989a4dd10805f5685d66447,Margaret Atwood
6989a4dd10805f5685d66449,Wally Lamb
6989a4dd10805f5685d6644b,James Stark
6989a4dd10805f5685d6644f,Celeste Anand
6989a4dd10805f5685d66451,Ray Bradbury
6989a4dd10805f5685d66453,Laura Esquivel
6989a4dd10805f5685d66455,Charlotte Bronte
6989a4dd10805f5685d66457,Anna Quindlen
6989a4dd10805f5685d6645b,Patrick Doyle
6989a4dd10805f5685d6645d,Jonathan Franzen
6989a4dd10805f5685d6645f,Raymond Briggs
6989a4dd10805f5685d66462,Michael Chinery
6989a4dd10805f5685d66464,Nick Hornby
6989a4dd10805f5685d66467,Nicholas Sparks
6989a4dd10805f5685d6646a,Ursula Hegi
6989a4dd10805f5685d6646d,Patricia Daniels Cornwell
6989a4dd10805f5685d6646f,Sijie Dai
6989a4dd10805f5685d66472,Clara Louise Burnham
6989a4dd10805f5685d66474,Madeleine L'engle
6989a4dd10805f5685d66478,Joyce Carol Oates
6989a4dd10805f5685d6647a,Tom Clancy
6989a4dd10805f5685d66480,Richard Adams
6989a4dd10805f5685d66482,Christopher Isherwood
6989a4dd10805f5685d66485,Joseph Conrad
6989a4dd10805f5685d66488,Robert Morgan
6989a4dd10805f5685d6648b,Gwyn Hyman Rubio
6989a4dd10805f5685d6648d,F. Scott Fitzgerald
6989a4dd10805f5685d6648f,George Orwell
6989a4dd10805f5685d66493,Patricia Cornwell
6989a4dd10805f5685d66495,Stephanie Spinner
6989a4dd10805f5685d66497,Dirk Jan Koch
6989a4dd10805f5685d66499,Dean Ray Koontz
6989a4dd10805f5685d6649e,Dean R. Koontz
6989a4dd10805f5685d664a0,Cyril Wecht
6989a4dd10805f5685d664a2,Don Pendleton
6989a4dd10805f5685d664a5,John Ronald Reuel Tolkien
6989a4dd10805f5685d664a7,Diana Gabaldon
6989a4dd10805f5685d664a9,Robert M. Pirsig
6989a4dd10805f5685d664ac,Anita Shreve
6989a4dd10805f5685d664af,Billionaire Publishing
6989a4dd10805f5685d664b1,Greg Farshtey
6989a4dd10805f5685d664b3,Annie Auerbach
6989a4dd10805f5685d664b5,Rex Stout
6989a4dd10805f5685d664b8,Louis Sachar
6989a4dd10805f5685d664ba,Lois Lowry
6989a4dd10805f5685d664bc,Debra Ginsberg
6989a4dd10805f5685d664be,Janet Evanovich
6989a4dd10805f5685d664c0,Douglas Adams
6989a4dd10805f5685d664c2,Cormac Mccarthy
6989a4dd10805f5685d664c4,Alena Graedon
6989a4dd10805f5685d664c7,Bill Bryson
6989a4dd10805f5685d664c9,Karen Molenaar Terrell
6989a4dd10805f5685d664cb,Gabriel García Márquez
6989a4dd10805f5685d664cd,Jostein Gaarder
6989a4dd10805f5685d664d0,Nicholas Evans
6989a4dd10805f5685d664d3,William Golding
6989a4dd10805f5685d664d7,Donna Tartt
6989a4dd10805f5685d664d9,Maeve Binchy
6989a4dd10805f5685d664dc,Gabriel Garcia Marquez
6989a4dd10805f5685d664de,John Kennedy Toole
6989a4dd10805f5685d664e0,Erin Hunter
6989a4dd10805f5685d664e4,M. Clark
6989a4dd10805f5685d664e6,Emma Cline
6989a4dd10805f5685d664e8,Stacy Stokes
6989a4dd10805f5685d664ea,Mindy Weiss
6989a4dd10805f5685d664ed,Sue Grafton
6989a4dd10805f5685d664ef,Frances Hodgson Burnett
6989a4dd10805f5685d664f1,Jeffrey Eugenides
6989a4dd10805f5685d664f3,John Jackson Miller
6989a4dd10805f5685d664f5,Christine Leigh Heyrman
6989a4dd10805f5685d664f7,Harlan Coben
6989a4dd10805f5685d664f9,Lyn Riddle
6989a4dd10805f5685d664fb,Edith Eva Eger
6989a4dd10805f5685d66500,Nora Roberts
6989a4dd10805f5685d66502,Breena Clarke
6989a4dd10805f5685d66504,David Baldacci
6989a4dd10805f5685d66506,Robert Nelson Jacobs
6989a4dd10805f5685d66508,Sharon Yunker
6989a4dd10805f5685d6650c,R. Pijpers
6989a4dd10805f5685d6650f,Anne Tyler
6989a4dd10805f5685d66512,James Clavell
6989a4dd10805f5685d66514,Philip Pullman
6989a4dd10805f5685d66516,Susan Vreeland
6989a4dd10805f5685d66518,Michael Ondaatje
6989a4dd10805f5685d6651a,Lauri Brunton
6989a4dd10805f5685d6651c,Paolo Giordano
6989a4dd10805f5685d6651e,Charles Dickens
6989a4dd10805f5685d66521,James Mcbride
6989a4dd10805f5685d66523,E. B. White
6989a4dd10805f5685d66527,Jude Deveraux
6989a4dd10805f5685d66529,Jack Canfield
6989a4dd10805f5685d6652b,Julia Glass
6989a4dd10805f5685d6652f,Nathaniel Hawthorne
6989a4dd10805f5685d66531,Arthur Pike & David Pike
6989a4dd10805f5685d66533,Frank E. Peretti
6989a4dd10805f5685d66535,Richard Bachman
6989a4dd10805f5685d66537,Lauren Weisberger
6989a4dd10805f5685d66539,Carol Shields
6989a4dd10805f5685d6653c,Richard Bach
6989a4dd10805f5685d6653e,Benjamin Hoff
6989a4dd10805f5685d66541,Hermann Hesse
6989a4dd10805f5685d66543,Kent Haruf
6989a4dd10805f5685d66545,Kaye Gibbons
6989a4dd10805f5685d66548,Cary Elwes
6989a4dd10805f5685d6654a,Sherrilyn Kenyon
6989a4dd10805f5685d6654c,Mirjam Pressler
6989a4dd10805f5685d6654e,Terry Mcmillan
6989a4dd10805f5685d66550,Robert Ludlum
6989a4dd10805f5685d66556,Clement Moore
6989a4dd10805f5685d66559,Zora Neale Hurston
6989a4dd10805f5685d6655c,Olive Ann Burns
6989a4dd10805f5685d6655e,Maya Angelou
6989a4dd10805f5685d66560,Caleb Carr
6989a4dd10805f5685d66562,William Gibson
6989a4dd10805f5685d66564,Catherine Coulter
6989a4dd10805f5685d66566,Rex Hauck
6989a4dd10805f5685d66569,Julia De Burgos
6989a4dd10805f5685d6656b,John Steinbeck
6989a4dd10805f5685d6656d,Tami Hoag
6989a4dd10805f5685d66570,Tom Wolfe
6989a4dd10805f5685d66575,Tim Lahaye
6989a4dd10805f5685d66577,Scott O'dell
6989a4dd10805f5685d66579,Christopher M. Lee
6989a4dd10805f5685d6657b,Rosamunde Pilcher
6989a4dd10805f5685d6657e,Gustave Flaubert
6989a4dd10805f5685d66580,Iris Johansen
6989a4dd10805f5685d66583,Margaret Mayhew
6989a4dd10805f5685d66585,Beth O'leary
6989a4dd10805f5685d6658a,Tess Gerritsen
6989a4dd10805f5685d6658e,Marilynne Robinson
6989a4dd10805f5685d66590,Hendrik Marsman
6989a4dd10805f5685d66594,Julie Garwood
6989a4dd10805f5685d66597,George H. Gay
6989a4dd10805f5685d66599,Suzanne Brockmann
6989a4dd10805f5685d6659c,Peter Høeg
6989a4dd10805f5685d665a0,William Meikle
6989a4dd10805f5685d665a2,Antoine De Saint-exupery
6989a4dd10805f5685d665ac,L. M. Montgomery
6989a4dd10805f5685d665b0,Jack Finney
6989a4dd10805f5685d665b2,Michael Knight
6989a4dd10805f5685d665b8,Winston Groom
6989a4dd10805f5685d665ba,Rohinton Mistry
6989a4dd10805f5685d665bc,Toni Morrison
6989a4dd10805f5685d665c3,Sylvia Plath
6989a4dd10805f5685d665c5,Leo Tolstoy
6989a4dd10805f5685d665c9,John Sandford
6989a4dd10805f5685d665cb,Christopher Moore
6989a4dd10805f5685d665cd,Harold Bloom
6989a4dd10805f5685d665cf,Frank W. Abagnale
6989a4dd10805f5685d665d3,David E. E. Sloane
6989a4dd10805f5685d665d5,Hilary Coombes
6989a4dd10805f5685d665d7,Danielle Steel
6989a4dd10805f5685d665d9,Henry Edwards
6989a4dd10805f5685d665db,David Limbaugh
6989a4dd10805f5685d665de,Mary Higgins Clark
6989a4dd10805f5685d665e0,Lara Santoro
6989a4dd10805f5685d665e2,Yewande Omotoso
6989a4dd10805f5685d665e4,Philippa Gregory
6989a4dd10805f5685d665e7,Willa Cather
6989a4dd10805f5685d665ea,Michael J. Fox
6989a4dd10805f5685d665ec,Neal Shusterman
6989a4dd10805f5685d665ef,Nelson Demille
6989a4dd10805f5685d665f1,John Butler
6989a4dd10805f5685d665f3,Edith Wharton
6989a4dd10805f5685d665f5,Mark Twain
6989a4dd10805f5685d665f7,Scott Turow
6989a4dd10805f5685d665fa,Ken Kesey
6989a4dd10805f5685d665fd,Jean M. Auel
6989a4dd10805f5685d665ff,Kathy Reichs
6989a4dd10805f5685d66601,Peter Mayle
6989a4dd10805f5685d66605,Arlie Russell Hochschild
6989a4dd10805f5685d66607,Candace Bushnell
6989a4dd10805f5685d66609,Thomas Hardy
6989a4dd10805f5685d6660b,Steven Brust
6989a4dd10805f5685d6660d,Joseph Heller
6989a4dd10805f5685d66611,Mary E. Pearson
6989a4dd10805f5685d66613,Kathleen Norris
6989a4dd10805f5685d66616,Robert Louis Stevenson
6989a4dd10805f5685d66618,Barbara M. Linde
6989a4dd10805f5685d6661c,Thomas Keneally
6989a4dd10805f5685d6661e,Keeanga-yamahtta Taylor
6989a4dd10805f5685d66621,Fiodor Dostojewski
6989a4dd10805f5685d66623,Francois Marie Arouet
6989a4dd10805f5685d66626,Clive Staples Lewis
6989a4dd10805f5685d6662b,Dean Koontz
6989a4dd10805f5685d6662e,Oscar Wilde
6989a4dd10805f5685d66630,Virginia Woolf
6989a4dd10805f5685d66633,Sena Jeter Naslund
6989a4dd10805f5685d66635,Yehudi Menuhin
6989a4dd10805f5685d66637,Nikki Van De Car
6989a4dd10805f5685d66639,David Dowling
6989a4dd10805f5685d6663b,Larry Mcmurtry
6989a4dd10805f5685d6663d,Nigel Groom
6989a4dd10805f5685d6663f,Arlene Eisenberg
6989a4dd10805f5685d66641,V.C. Andrews
6989a4dd10805f5685d66644,Carole Boston Weatherford
6989a4dd10805f5685d66648,Dodie Smith
6989a4dd10805f5685d6664a,Ann B. Ross
6989a4dd10805f5685d6664f,Farley Mowat
6989a4dd10805f5685d66652,James Joyce
6989a4dd10805f5685d66655,Chinua Achebe
6989a4dd10805f5685d66657,Erika Doss
6989a4dd10805f5685d66659,William Shakespeare
6989a4dd10805f5685d6665b,Cassandra Clare
6989a4dd10805f5685d6665d,Sarah Lean
6989a4dd10805f5685d66660,Chuck Palahniuk
6989a4dd10805f5685d66662,Lisa Ko
6989a4dd10805f5685d66664,Tom Robbins
6989a4dd10805f5685d6666a,Timothy Alberino
